product_name,category,times_ordered,total_revenue,total_loss,avg_discount
Cubify CubeX 3D Printer Double Head Print,Technology,2,6299.98,-9239.97,0.7
GBC DocuBind P400 Electric Binding System,Office Supplies,3,4899.56,-6859.39,0.77
Lexmark MX611dhe Monochrome Laser Printer,Technology,3,13769.92,-5269.97,0.5
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,6,6696.62,-5098.57,0.72
GBC DocuBind TL300 Electric Binding System,Office Supplies,4,4395.25,-4162.03,0.73
Cubify CubeX 3D Printer Triple Head Print,Technology,1,7999.98,-3839.99,0.5
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,2,2287.78,-3431.67,0.8
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,4,8264.7,-3107.53,0.35
Ibico EPK-21 Electric Binding System,Office Supplies,1,1889.99,-2929.48,0.8
Bush Advantage Collection Racetrack Conference Table,Furniture,6,6151.05,-2545.26,0.41
